机构名称,最后更新时间,涉我动向链接,动向摘要
自由时报,2025-07-08 14:38:37,https://news.ltn.com.tw/news/def/breakingnews/5100544,中国解放军在台风过后恢复对台军事施压，8日出动20架军机（含13架次越过台海中线）进行所谓“联合战备警巡”，国军严密监控并应对。此举显示台海军事对峙持续，网络攻防信息未直接提及，但军事动态可能伴随网络行动。
自由时报,2025-07-08 14:38:37,https://news.ltn.com.tw/news/politics/breakingnews/5100013,中国近期频繁冒充媒体或智库向国内外学者诈取涉台政治分析稿件，意图搜集台湾舆情研判未来走向，可能用于情报工作。学者认为这显示中国对台影响手段升级，但未能削弱民进党支持度。
自由时报,2025-07-08 14:38:37,https://news.ltn.com.tw/news/politics/breakingnews/5100510,中研院学者警告，若台湾接受“一国两制”，结局将比香港更惨。香港虽无军队仍遭强力打压，台湾拥有自主政府和军队，参考西藏1959年被镇压的历史，统一后可能面临更严厉的控制和镇压。中共对香港的政策调整显示其随时可能收回承诺，台湾若统一将面临类似甚至更严峻的后果。
自由时报,2025-07-08 14:38:37,https://news.ltn.com.tw/news/politics/breakingnews/5100021,中国单方面启用W121航路，违反两岸2015年共识。美国呼吁通过对话解决分歧，反对胁迫行为。学者担忧中国可能借此研究将军机伪装为民航机接近台湾空域，威胁台海安全。此举被视为中国施压台湾、复杂化区域防务的一部分。
自由时报,2025-07-08 14:38:37,https://news.ltn.com.tw/news/politics/breakingnews/5100430,"香港实施《港版国安法》5年来，红色恐怖蔓延，公民社会遭系统性打压：1万多人被捕、新闻自由排名暴跌至140位、40万高学历港人外流。中共通过审查、收编、强制表忠等手段全面控制香港，导致社会原子化，""一国两制""实质消亡。该法成为台湾民众拒绝统一的警示案例。"
自由时报,2025-07-08 14:38:37,https://news.ltn.com.tw/news/politics/breakingnews/5100409,"台湾北社新任理事长罗浚晅推动""大罢免""行动，反制蓝白联盟通过的争议法案，并成立特别宣讲团应对中国渗透。北社强调罢免是民主自救，旨在抵制中国代理人操控台湾政治，呼吁全民参与守护民主与主权。"
三立新闻网,2025-07-08 14:53:28,https://www.setn.com/News.aspx?NewsID=1684350,欧盟驻台代表呼吁与台湾合作保护海底电缆安全及应对混合战争威胁，外交部回应已启动初步交流，将加强信息共享和能力建设，共同维护区域安全。
GreatFire,2025-07-08 15:21:00,https://nypost.com/2019/05/13/china-blocks-access-to-all-language-editions-of-wikipedia/,
GreatFire,2025-07-08 15:21:00,https://citizenlab.ca/2015/04/chinas-great-cannon/,"中国""Great Cannon""（大炮）是与防火墙分离的网络攻击系统，能劫持流量发动DDoS攻击，曾针对GitHub和GreatFire.org。该系统可中间人攻击未加密流量，具备定向投放恶意代码的能力，显示中国网络管控的军事化升级。"
GreatFire,2025-07-08 15:21:00,https://news.google.com/search?q=greatfire%20china&hl=en-GB&gl=GB&ceid=GB%3Aen,"中国反审查组织GreatFire.org近期遭遇首次DDoS攻击，该组织长期对抗""防火长城""，提供翻墙工具。中国被指利用""国家大炮""技术攻击GitHub等境外网站，并加强VPN封锁。双方在网络攻防战中持续角力，凸显中国对互联网管控的强化与反审查力量的对抗。"
GreatFire,2025-07-08 15:21:00,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=greatfire.org&btnG=,这篇文章主要分析了中国“Great Cannon”（大炮）网络攻击工具，该工具曾用于对反审查网站GreatFire.org发起DDoS攻击。研究揭示该工具独立于防火墙但与之协同，通过劫持用户流量发动攻击，体现了中国在网络攻防中的技术手段和审查策略。
GreatFire,2025-07-08 15:21:00,https://www.cruz.senate.gov/newsroom/press-releases/icymi-press-coverage-of-cruz-leahy-letter-to-apple-ceo-tim-cook,美国参议员克鲁兹和莱希致信苹果CEO库克，质疑苹果应中国政府要求下架VPN应用的行为，认为此举助长了中国的网络审查制度，限制了言论自由。他们要求苹果说明是否曾抵制中方要求或公开反对网络审查，并强调苹果应维护互联网自由而非配合 censorship。
GreatFire,2025-07-08 15:21:00,https://time.com/5321945/hbo-china-john-oliver-xi-jinping/,
美国国家人工智能安全委员会,2025-07-08 16:50:27,https://www.state.gov/global-emerging-leaders-in-international-cyberspace-security-gel-ics-fellowship/,"美国国务院推出""全球新兴国际网络空间安全领袖计划""(GEL-ICS)，旨在培养20-25名来自盟国的中高级政府官员，通过美国实地考察、网络研讨会等方式，推动联合国网络行为准则框架。该项目重点关注网络安全、数字经济和数据隐私，要求英语流利，目标是为未来培养亲美网络政策领导者。中国未被提及，但隐含针对网络空间国际规则话语权竞争。"
